;titulo;data_lancamento;nota_media;numero_votos;popularidade;lingua_original;descricao
84;Deadpool & Wolverine;24/07/2024;7.586;7499;447.493;en;Um apático Wade Wilson trabalha duro na vida civil. Seus dias como mercenário moralmente flexível, Deadpool, ficaram para trás. Quando seu planeta enfrenta uma ameaça, Wade deve relutantemente vestir-se novamente com um ainda mais relutante... relutante? Mais relutante? Ele deve convencer um Wolverine relutante em... Porra. As sinopses são tão estúpidas.
85;Improvisação Perigosa;12/06/2025;6.694;335;400.613;en;Kat é uma professora de humor de improvisação que começa a questionar se perdeu sua chance ao sucesso. Quando um policial disfarçado oferece a ela um papel decisivo, ela recruta dois de seus alunos para se infiltrarem nas gangues de Londres disfarçados de criminosos perigosos.
86;Como Treinar o seu Dragão 2;05/06/2014;7.7;9949;409.043;en;Cinco anos após convencer os habitantes de seu vilarejo que os dragões não devem ser combatidos, Soluço convive com seu dragão Fúria da Noite, e estes animais integraram pacificamente a rotina dos moradores da ilha de Berk. Entre viagens pelos céus e corridas de dragões, Soluço descobre uma caverna secreta, onde centenas de novos dragões vivem. O local é protegido por Valka, mãe de Soluço, que foi afastada do filho quando ele ainda era um bebê. Juntos, eles precisarão proteger o mundo que conhecem do perigoso Drago Bludvist, que deseja controlar todos os dragões existentes.
87;Round 6: Temporada 2 - Making Of;02/01/2025;8.5;425;403.016;ko;Dos detalhes dos cenários aos arcos dos personagens: confira entrevistas com o elenco e o diretor sobre os bastidores da segunda temporada da série mais vista do mundo.
88;365 Dias: Hoje;26/04/2022;5.91;1746;421.937;pl;"Em 365 Dias: Hoje, após os acontecimentos de 365 Dias, Laura Biel se casa com Don Massimo, o chefe da máfia siciliana que a sequestrou. Sua vida parece um conto de fadas: ela tem um marido amoroso, uma casa linda e um bebê a caminho. Mas Massimo tem muitos inimigos, e eles sabem que a melhor maneira de lhe causar dor é ferir aqueles que ama. Depois de um mal-entendido conjugal, Laura e sua melhor amiga, Olga, fogem da Sicília para a Polônia natal. Mas sem a proteção do marido, Laura é sequestrada por Marcelo ""Nacho"" Matos, filho do chefe da máfia rival, e levada para as Ilhas Canárias pela máfia espanhola. Agora Massimo moverá qualquer montanha para resgatá-la. Mas o que o chefe da máfia siciliana não espera é que Laura começa a ter sentimentos pelo seu raptor, lindo e extremamente perigoso, enquanto é mantida refém."
89;Angels Fallen: Warriors of Peace;09/07/2024;4.8;17;1.968.523;en;
90;Meu Malvado Favorito 4;20/06/2024;7.0;2851;40.331;en;Nesta sequência, o vilão mais amado do planeta retorna e agora Gru, Lucy, Margo, Edith e Agnes dão as boas-vindas a um novo membro da família: Gru Jr., que pretende atormentar seu pai. Enquanto se adapta com o pequeno, Gru enfrenta um novo inimigo, Maxime Le Mal, forçando sua namorada Valentina e a família a fugir do perigo.
91;Довбуш;24/08/2023;7.214;28;378.798;uk;
92;My Massive Cock;24/10/2022;6.222;9;345.987;en;
93;Kayara - A Princesa Inca;02/01/2025;7.6;83;409.343;en;Uma jovem garota sonha em se juntar ao grupo de mensageiros do Império Inca, composto somente por homens. Ela desafia tradições e normas de gênero para perseguir sua ambição contra todas as probabilidades.
94;La coda del diavolo;25/07/2024;5.9;39;453.469;it;
95;Interestelar;05/11/2014;8.458;37487;38.436;en;As reservas naturais da Terra estão chegando ao fim e um grupo de astronautas recebe a missão de verificar possíveis planetas para receberem a população mundial, possibilitando a continuação da espécie. Cooper é chamado para liderar o grupo e aceita a missão sabendo que pode nunca mais ver os filhos. Ao lado de Brand, Jenkins e Doyle, ele seguirá em busca de um novo lar.
96;Até a Última Gota;05/06/2025;7.9;749;374.962;en;Até onde ela vai aguentar? Após um dia devastador, uma mãe solo dedicada chega ao seu limite e comete um ato de desespero que ninguém poderia prever.
97;Sorority;20/06/2025;6.5;2;390.305;tl;
98;Elio;18/06/2025;6.818;200;385.684;en;Elio, um garoto oprimido com uma imaginação fértil, acaba sendo transportado acidentalmente para o Comuniverso. Identificado por engano como o embaixador da Terra para o resto do universo, Elio precisará formar novos laços com excêntricas formas de vida alienígenas, sobreviver a uma série de tribulações terríveis e, de alguma forma, descobrir quem ele realmente está destinado a ser.
